time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-13T08:43:49.000Z,67.1628,-147.4396,0,2.5,ml,,,,0.81,ak,ak11552157,2015-04-13T16:46:16.584Z,"116km NW of Fort Yukon, Alaska",earthquake
2015-04-13T07:40:21.970Z,-5.8128,149.5859,142.79,4.8,mb,,93,3.031,0.91,us,us2000262f,2015-04-13T15:43:02.990Z,"44km N of Kandrian, Papua New Guinea",earthquake
2015-04-13T07:00:44.200Z,19.656,-66.0055,57,3,Md,6,313.2,1.38340554,0.25,pr,pr15103005,2015-04-13T15:03:18.357Z,"132km N of San Juan, Puerto Rico",earthquake
2015-04-13T06:50:23.660Z,34.1358333,-116.8391667,10.99,2.68,ml,112,28,0.09065,0.2,ci,ci37362880,2015-04-14T21:00:30.790Z,"14km SSE of Big Bear Lake, California",earthquake
2015-04-13T06:25:00.670Z,-18.0415,-17.3826,10,4.8,mb,,118,10.469,0.62,us,us20002629,2015-04-13T14:27:26.871Z,"Southern Mid-Atlantic Ridge",earthquake
2015-04-13T04:55:33.500Z,19.2334,-64.9785,24,3,Md,5,291.6,0.88034898,0.27,pr,pr15103003,2015-04-13T12:58:08.243Z,"98km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-04-13T04:49:50.700Z,19.3145,-64.9216,24,3.2,Md,6,298.8,0.93873947,0.25,pr,pr15103002,2015-04-13T12:52:29.106Z,"104km NNW of Road Town, British Virgin Islands",earthquake
2015-04-13T04:37:13.200Z,19.3614,-67.8255,97,3.2,Md,4,327.6,1.37082912,0.3,pr,pr15103000,2015-04-13T12:39:46.372Z,"105km NE of Punta Cana, Dominican Republic",earthquake
2015-04-13T04:33:12.000Z,60.0304,-152.9455,119,3.6,ml,,,,0.89,ak,ak11552116,2015-04-13T12:35:41.038Z,"51km SSW of Redoubt Volcano, Alaska",earthquake
2015-04-13T04:17:41.080Z,33.9915,-118.3615,11.73,3.32,ml,156,24,0.0009831,0.39,ci,ci37362808,2015-04-15T17:49:59.734Z,"1km WSW of View Park-Windsor Hills, California",earthquake
2015-04-13T03:53:51.450Z,17.2457,-121.8914,10,4.7,mb,,124,12.896,0.79,us,us2000261q,2015-04-13T11:56:33.876Z,"North Pacific Ocean",earthquake
2015-04-13T03:49:04.190Z,39.1279,24.5039,10,4.5,mb,,49,1.69,1.4,us,us2000261p,2015-04-13T17:19:03.040Z,"25km NNW of Skyros, Greece",earthquake
2015-04-13T03:30:31.000Z,62.2196,-150.0481,51.9,2.9,ml,,,,0.73,ak,ak11552084,2015-04-13T11:32:59.912Z,"12km WNW of Y, Alaska",earthquake
2015-04-13T03:00:08.410Z,-40.115,-73.7182,33.37,4.6,mb,,91,1.275,1.46,us,us2000261h,2015-04-13T16:59:36.226Z,"35km SW of Corral, Chile",earthquake
2015-04-13T00:58:08.000Z,63.5559,-150.994,9.4,3.3,ml,,,,0.94,ak,ak11552057,2015-04-13T09:01:08.061Z,"103km W of Cantwell, Alaska",earthquake
2015-04-12T23:35:46.780Z,33.9896667,-118.3655,6.75,2.64,ml,73,36,0.003265,0.31,ci,ci37362648,2015-04-15T08:17:23.440Z,"2km SSE of Baldwin Hills, California",earthquake
2015-04-12T23:31:43.000Z,63.2385,-145.1895,4.5,2.7,ml,,,,0.94,ak,ak11552042,2015-04-13T07:34:23.637Z,"70km S of Deltana, Alaska",earthquake
2015-04-12T23:19:33.000Z,61.5805,-146.5133,12.2,2.5,ml,,,,0.78,ak,ak11552035,2015-04-13T07:22:50.857Z,"50km N of Valdez, Alaska",earthquake
2015-04-12T22:55:56.640Z,36.0011,-96.804,5,3.3,mb_lg,,33,0.03,0.98,us,us20002606,2015-04-13T20:07:16.336Z,"3km WNW of Cushing, Oklahoma",earthquake
2015-04-12T21:28:25.740Z,40.323,-124.6521667,12.53,2.59,md,38,240,0.2813,0.1,nc,nc72430666,2015-04-13T18:57:07.264Z,"43km SW of Ferndale, California",earthquake
2015-04-12T20:52:22.050Z,41.3496,-116.3716,3.9612,2.64,ml,8,161.95,0.33,0.1775,nn,nn00490068,2015-04-13T15:13:14.945Z,"70km SSW of Owyhee, Nevada",earthquake
2015-04-12T20:45:01.610Z,13.7245,145.4612,106.14,4.6,mb,,81,0.591,0.49,us,us200025z0,2015-04-13T09:32:48.830Z,"55km SSE of Rota, Northern Mariana Islands",earthquake
2015-04-12T19:25:01.810Z,37.1503,143.821,10.92,5.3,mwp,,86,2.514,1,us,us200025yw,2015-04-13T03:27:38.717Z,"252km E of Namie, Japan",earthquake
2015-04-12T18:54:56.350Z,23.6813,125.578,33.99,4.3,mb,,130,2.473,0.97,us,us200025ys,2015-04-13T02:57:38.638Z,"127km SSE of Hirara, Japan",earthquake
2015-04-12T17:35:33.240Z,-18.2761,-172.7683,32.56,4.9,mb,,93,2.808,0.98,us,us200025yc,2015-04-13T01:38:35.254Z,"134km ENE of Neiafu, Tonga",earthquake
2015-04-12T16:48:16.260Z,27.3184,52.95,10,4.9,mb,,48,3.76,0.61,us,us200025y5,2015-04-13T00:50:46.886Z,"123km WSW of Gerash, Iran",earthquake
2015-04-12T15:51:40.100Z,2.6026,128.6383,232.62,4.2,mb,,161,2.218,0.62,us,us200025y0,2015-04-12T23:54:07.271Z,"119km NE of Tobelo, Indonesia",earthquake
2015-04-12T15:28:55.000Z,61.4192,-151.1128,66.1,2.9,ml,,,,0.74,ak,ak11551803,2015-04-12T23:31:27.844Z,"62km W of Big Lake, Alaska",earthquake
2015-04-12T14:26:00.600Z,36.7163,-98.4573,6.564,2.6,ml,,121,,0.24,us,us200026hq,2015-04-15T18:41:39.199Z,"9km WSW of Cherokee, Oklahoma",earthquake
2015-04-12T14:10:21.400Z,19.1445,-66.1716,30,3.6,Md,12,259.2,0.74470337,0.37,pr,pr15102000,2015-04-12T22:12:49.172Z,"75km N of San Juan, Puerto Rico",earthquake
2015-04-12T12:10:35.530Z,36.7012,-97.9155,2.84,3.1,mb_lg,,43,0.156,0.3,us,us200025xn,2015-04-12T17:17:19.168Z,"20km SW of Medford, Oklahoma",earthquake
2015-04-12T10:43:53.790Z,40.4333333,-125.9201667,10.09,2.91,md,18,302,1.255,0.27,nc,nc72430431,2015-04-15T05:36:04.427Z,"141km W of Ferndale, California",earthquake
2015-04-12T09:40:20.000Z,61.992,-149.8781,26.3,2.8,ml,,,,0.84,ak,ak11551706,2015-04-12T18:55:23.395Z,"18km S of Y, Alaska",earthquake
2015-04-12T09:24:36.170Z,32.9695,-115.8901667,9.34,2.58,ml,46,42,0.05729,0.22,ci,ci37362280,2015-04-13T19:52:06.070Z,"26km WSW of Westmorland, California",earthquake
2015-04-12T09:01:26.320Z,-15.1353,-173.0697,29.21,4.6,mb,,112,1.747,0.35,us,us200025x5,2015-04-12T17:04:04.696Z,"115km NE of Hihifo, Tonga",earthquake
2015-04-12T08:18:36.320Z,35.8336,-97.4381,5.79,3,mb_lg,,68,0.039,0.2,us,us200025ww,2015-04-12T17:16:23.774Z,"5km SSW of Guthrie, Oklahoma",earthquake
2015-04-12T07:28:11.860Z,-33.036,-67.502,173.35,4.6,mb,,48,1.791,0.8,us,us200025wp,2015-04-12T14:30:00.853Z,"90km E of San Martin, Argentina",earthquake
2015-04-12T06:55:04.220Z,-28.2827,-67.3404,116.91,4.6,mb,,68,2.145,0.78,us,us200025wk,2015-04-12T14:57:39.651Z,"32km SE of Tinogasta, Argentina",earthquake
2015-04-12T06:25:15.530Z,36.4112,138.8193,147.27,4.6,mb,,53,0.513,0.79,us,us200025wj,2015-04-12T10:55:53.860Z,"12km NW of Annaka, Japan",earthquake
2015-04-12T06:20:16.580Z,51.296,176.677,19.54,4.3,mb,,181,1.647,0.89,us,us200025wi,2015-04-12T18:54:50.913Z,"110km SW of Kiska Volcano, Alaska",earthquake
2015-04-12T05:43:29.430Z,36.634,-89.6065,9.54,2.9,mlg,55,36,0.03874,0.16,nm,nm60097716,2015-04-13T01:08:08.554Z,"6km N of Lilbourn, Missouri",earthquake
2015-04-12T04:33:17.470Z,38.266,141.8134,54.91,4.5,mb,,134,0.899,0.7,us,us200025wd,2015-04-12T22:38:08.040Z,"47km ESE of Ishinomaki, Japan",earthquake
2015-04-12T03:24:22.730Z,39.016,71.112,40.77,4.3,mb,,54,1.934,0.85,us,us200025wa,2015-04-12T11:26:57.350Z,"43km SW of Karakenja, Tajikistan",earthquake
2015-04-12T02:49:30.800Z,25.0712,128.3235,10,4.7,mb,,129,1.758,1.36,us,us200025w9,2015-04-12T10:52:03.008Z,"133km SSE of Itoman, Japan",earthquake
2015-04-12T02:48:45.000Z,57.428,-155.1476,97,3.2,ml,,,,0.84,ak,ak11551521,2015-04-12T10:51:19.366Z,"71km W of Larsen Bay, Alaska",earthquake
2015-04-12T00:45:27.790Z,-18.5509,-174.3102,21.31,5.1,mb,,81,4.184,0.95,us,us200025vw,2015-04-12T01:05:03.819Z,"36km WNW of Neiafu, Tonga",earthquake
2015-04-12T00:42:03.440Z,36.1325,-97.5731,3.01,3.4,mb_lg,,40,0.348,0.28,us,us200025vt,2015-04-12T20:04:07.605Z,"20km N of Crescent, Oklahoma",earthquake
2015-04-12T00:05:32.720Z,43.809,18.5876,10,3.9,mb,,25,1.054,0.73,us,us200025vq,2015-04-13T07:21:45.384Z,"1km ESE of Pale, Bosnia and Herzegovina",earthquake
2015-04-11T22:59:59.000Z,60.1346,-154.3973,115.7,2.5,ml,,,,0.62,ak,ak11551496,2015-04-12T07:02:26.665Z,"51km NE of Old Iliamna, Alaska",earthquake
2015-04-11T22:01:43.500Z,46.8641,-113.0348,16.9,2.6,mc,38,68.3999945280004,0.1572052,0.25,mb,mb15483319,2015-04-15T14:21:29.195Z,"28km WSW of Lincoln, Montana",earthquake
2015-04-11T22:01:43.200Z,46.8741,-113.058,18.3,2.7,ml,,197,0.135,0.45,us,us200025v9,2015-04-15T14:09:34.482Z,"30km WSW of Lincoln, Montana",earthquake
2015-04-11T21:56:18.900Z,19.3598,-155.2043,3.2,2.8,Ml,,57.6,0.01796631,0.31,hv,hv60892831,2015-04-12T05:59:04.565Z,"8km SSE of Volcano, Hawaii",earthquake
2015-04-11T19:32:01.000Z,64.9951,-151.5221,16,2.9,ml,,,,0.88,ak,ak11551396,2015-04-12T03:34:44.603Z,"32km SE of Tanana, Alaska",earthquake
2015-04-11T19:09:17.190Z,16.7767,-86.068,20.07,4.1,mb,,93,2.943,1.11,us,us20002607,2015-04-12T23:08:15.434Z,"42km NNW of Savannah Bight, Honduras",earthquake
2015-04-11T17:51:51.800Z,36.0243333,-120.5878333,5.41,2.76,md,106,37,0.04411,0.08,nc,nc72430166,2015-04-13T21:23:05.279Z,"24km WSW of Coalinga, California",earthquake
2015-04-11T17:18:44.170Z,-6.5128,146.998,64.58,4.8,mb,,41,2.877,1.13,us,us200025um,2015-04-12T01:21:24.920Z,"23km N of Lae, Papua New Guinea",earthquake
2015-04-11T16:22:10.200Z,18.8262,-67.7188,25,3.3,Md,12,316.8,0.88304392,0.23,pr,pr15101006,2015-04-12T00:25:12.727Z,"73km NW of Rincon, Puerto Rico",earthquake
2015-04-11T16:05:03.000Z,63.3565,-145.4351,9.1,2.7,ml,,,,0.98,ak,ak11551318,2015-04-12T00:07:40.530Z,"58km S of Deltana, Alaska",earthquake
2015-04-11T15:17:20.000Z,63.4604,-148.5924,10.4,3,ml,,,,0.81,ak,ak11551272,2015-04-11T23:19:56.626Z,"19km ENE of Cantwell, Alaska",earthquake
2015-04-11T12:44:36.690Z,-6.7541,104.3261,35,5.1,mb,,118,3.552,0.83,us,us200025u9,2015-04-11T20:47:03.607Z,"143km W of Cangkeuteuk Sabrang, Indonesia",earthquake
2015-04-11T12:33:33.080Z,35.9537,-97.4077,6.27,2.6,mb_lg,,61,0.161,0.25,us,us20002600,2015-04-12T23:05:06.561Z,"8km N of Guthrie, Oklahoma",earthquake
2015-04-11T11:42:53.590Z,4.7817,124.9019,288.85,5.1,mb,,55,2.37,0.84,us,us200025u4,2015-04-11T19:45:38.895Z,"92km SW of Sarangani, Philippines",earthquake
2015-04-11T10:48:39.400Z,19.9542,-64.1023,52,3.4,Md,11,316.8,1.6043911,0.23,pr,pr15101005,2015-04-11T18:51:07.283Z,"178km NNE of Road Town, British Virgin Islands",earthquake
2015-04-11T10:36:36.890Z,40.239,-123.6505,29.27,2.53,md,27,45,0.05774,0.1,nc,nc72429981,2015-04-13T22:39:07.436Z,"19km NE of Redway, California",earthquake
2015-04-11T10:07:23.800Z,-15.681,-172.8597,10,4.6,mb,,85,4.386,0.53,us,us200025tw,2015-04-11T18:10:03.471Z,"99km ENE of Hihifo, Tonga",earthquake
2015-04-11T09:56:36.630Z,32.4101667,-115.2175,9.3,2.71,ml,18,107,0.07459,0.53,ci,ci37361624,2015-04-13T16:48:44.007Z,"6km NNW of Delta, B.C., Mexico",earthquake
2015-04-11T07:45:13.000Z,41.0966,142.8835,39.54,4.6,mb,,134,0.94,1.35,us,us200025tq,2015-04-11T15:47:56.437Z,"134km ENE of Hachinohe, Japan",earthquake
2015-04-11T07:28:01.000Z,63.5105,-149.0256,2.1,2.7,ml,,,,0.64,ak,ak11551110,2015-04-11T15:30:32.516Z,"13km NNW of Cantwell, Alaska",earthquake
2015-04-11T07:27:45.000Z,62.8913,-150.8266,96,2.6,ml,,,,0.22,ak,ak11551114,2015-04-11T18:30:53.288Z,"73km NNW of Talkeetna, Alaska",earthquake
2015-04-11T06:45:49.200Z,48.405,-114.24,12.6,3.5,mc,37,94,0.3997484,0.23,mb,mb31284,2015-04-14T17:27:57.179Z,"1km SSE of Whitefish, Montana",earthquake
2015-04-11T06:32:08.500Z,19.0403,-65.0195,28,2.7,Md,7,270,0.72763538,0.25,pr,pr15101003,2015-04-11T14:34:42.508Z,"77km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-04-11T05:44:50.620Z,43.4308,-126.8748,10,4.2,mwr,,184,1.941,1.57,us,us200025te,2015-04-11T13:47:25.233Z,"203km W of Bandon, Oregon",earthquake
2015-04-11T05:21:10.890Z,2.0477,126.6084,66.84,4.9,mb,,98,1.476,0.93,us,us200025tb,2015-04-11T13:23:38.356Z,"159km WNW of Tobelo, Indonesia",earthquake
2015-04-11T05:00:42.210Z,2.1643,126.7328,47.02,5.3,mb,,84,1.521,1.22,us,us200025t9,2015-04-12T20:25:38.040Z,"149km WNW of Tobelo, Indonesia",earthquake
